,Question,Answere
0,What precautions should consumers take in grocery stores?,"Consumers should maintain a safe physical distance of at least one metre from all other shoppers and staff while queuing before entering the store and while shopping in the store. If a trolley or basket is used while shopping, sanitize the handle before and after use. Hands should be sanitized before entering the store. Practice good coughing/sneezing etiquette while in the store. Avoid touching mouth, nose or eyes during shopping. Minimise direct hand contact with food by using available tongs and serving utensils. Use contactless payment rather than cash/notes (where feasible)."
0,Is food/grocery delivery safe?,"Yes, if the provider follows good personal and food hygiene practices. After accepting food/grocery deliveries, hands should be washed with soap and water."
0,What is the best household disinfectant for surfaces?,"Regular household cleaning and disinfection products will effectively eliminate the virus from household surfaces.  For cleaning and disinfecting households with suspected or confirmed COVID19 illnesses - surface virucidal disinfectants, such as 0.05% sodium hypochlorite (NaClO) and products based on ethanol (at least 70%), should be used."
0,Is it still safe to go to food markets? Animal markets? Wet markets?,"It should be safe provided it is possible to maintain a safe physical distance of at least one metre from all other shoppers and staff, it is possible to wash/sanitize hands, and that Good Manufacturing Practices and Good Hygienic Practices (GMP/GHP) standards are maintained in the market. For more recommendations on how to minimise the risk of transmission of emerging pathogens in wet markets, see the WHO recommendations to reduce risk of transmission of emerging pathogens from animals to humans in live animal markets or animal product markets."
0,Can COVID-19 be transmitted at the workplace?,"COVID-19 spreads primarily through respiratory droplets or contact with contaminated surfaces. Exposure can occur at the workplace, while travelling to work, during work-related travel to an area with local community transmission, as well as on the way to and from the workplace."
0,What is the risk of contracting COVID-19 in the workplace?,"The risk of exposure to COVID-19 in the workplace depends on the likelihood of coming within 1 metre of others, in having frequent physical contact with people who may be infected with COVID-19, and through contact with contaminated surfaces and objects."
0,How can people assess the risk for exposure to COVID-19 in their workplace and plan for preventive measures?,"Managers with the support of an occupational health and safety advisor should carry out rapid risk assessments to determine the possibility of exposure risk in order to put in place preventive measures. This should be done for each specific work setting and each job.Low exposure risk Jobs or work without frequent, close contact with the general public or others. Workers in this group have minimal occupational contact with the public and other co-workers. Examples of such jobs may include remote workers (i.e., working from home), office workers without frequent close contact with others and workers providing teleservices.Medium exposure risk Jobs or tasks with close, frequent contact with the general public or others. This risk level may apply to workers who have frequent and close contact with the people in high-population-density work environments (e.g. food markets, bus stations, public transport, and other work activities where physical distancing of at least 1 metre may be difficult to observe), or tasks that require close and frequent contact between co-workers. This may also include frequent contact with people returning from areas with community transmission. Examples of such jobs may include frontline workers in retail, home deliveries, accommodation, construction, police and security, public transport, and water and sanitation. High exposure risk Jobs or tasks with close contact with people who may be more likely to have COVID-19, as well as contact with objects and surfaces possibly contaminated with the virus. Examples include transporting people known or suspected to have COVID-19 without separation between the driver and the passenger, providing domestic services or home care for people with COVID-19, and having contact with the deceased who were known or suspected of having COVID-19 at the time of their death. Jobs that may fall under this category include domestic workers, social care workers, personal transport  and home delivery providers and home repair technicians (plumbers, electricians) who have to provide services in the homes of people with COVID-19."
0,Who should carry out the workplace risk assessment?,"Employers and managers, in consultation with workers, should carry out and regularly update the risk assessment for work-related exposure to COVID-19, preferably with the support of occupational health services."
0,What are the key considerations for the workplace risk assessment?,"For each risk assessment, consider the environment, the task, the threat, resources available, such as personal protective equipment, and the feasibility of protective measures. The risk assessment should also extend to collective accommodation provided by the employer for workers, such as dormitories.  Essential public services, such as security and police, food retail, accommodation, public transport, deliveries, water and sanitation, and other frontline workers may be at an increased risk of exposure to occupational hazards for health and safety. Workers who may be at higher risk of developing severe COVID-19 illness because of age or pre-existing medical conditions should be considered in the risk assessment for individuals."
0,"How should employers decide when to open, close or re-open workplaces and/or suspend or downscale work activities?","Deciding to close or re-open a workplace or suspend or downscale work activities should rely on the risk assessment, the capacity to put in place protective measures and the level of compliance, and recommendations of national authorities."
0,What key measures to protect against COVID-19 should be undertaken in ALL workplaces?,"Measures to prevent transmission of COVID-19 that apply to all workplaces and all people at the workplace include frequent hand-washing or disinfection with alcohol based hand sanitizer, respiratory hygiene such as covering coughs, physical distancing of at least 1 metre or more according to the national recommendations, wearing of masks where distancing is not possible, regular environmental cleaning and disinfection, and limiting unnecessary travel. Clear policies and messages, training, and education for staff and managers to increase awareness of COVID-19 are essential. The management of people with COVID-19 or their contacts is also critical e.g. requiring workers who are unwell or who develop symptoms to stay at home, self isolate and contact a medical professional or the local COVID-19 information line for advice on testing and referral."
0,What additional measures should be taken at workplaces and for jobs at medium risk?,"Workplaces for jobs at medium risk require daily cleaning and disinfection at least two times a day of objects and surfaces that are touched regularly, including all shared rooms, surfaces, floors, bathrooms, and changing rooms. Consider suspending any activity where physical distancing of at least 1 metre cannot be implemented in full. If this is not possible, increase ventilation, implement enhanced regular hand hygiene, and require staff to wear appropriate face masks, goggles, gloves and work clothes during cleaning procedures that generate splashes, providing training on their use. Organize changing and washing of work clothes at the workplace, so that workers to do take them home."
0,What additional measures should be taken at workplaces and for jobs at high risk?,"In work areas at high risk, assess the possibility of suspending the activity; enhance regular hand hygiene; provide medical masks, disposable gowns, gloves, and eye protection for workers who must work in the homes of people who are suspected or known to have COVID-19; train workers in infection prevention and control practices and use of personal protective equipment; avoid assigning tasks with high risk to workers who have pre-existing medical conditions, are pregnant, or older than 60 years of age."
0,What should be taken into consideration when setting a physical distance at the workplace?,"WHO recommends keeping a physical distance of at least 1 metre between each person in all settings, including in workplaces. Because transmission can occur in crowded workplaces, WHO recommends providing sufficient space, at least 10 square meters, for every worker. National recommendations for physical distancing may require greater physical distance and should be complied with. In order to support compliance with national or local recommendations, implement physical distance guidelines in a way that is practical and feasible in the context of work tasks, and which is acceptable to both workers and employers. Stimulate workers to comply with physical distancing norms also at events outside the workplace, in the community, and in dormitories. Risk assessment and consultation between employers and workers is very important for setting up and implementing physical distancing measures at the workplace. This may require modification of workstations, changing the use of common spaces and transport vehicles, staggered work shifts, split teams and other measures to reduce social mixing at the workplace. If physical distancing measures at the workplace are not feasible for specific work tasks, consider whether the work can be suspended, and if this is not possible, apply additional protective measures, such as the use of screens, sneeze guards,  face masks, enhanced hand hygiene, ventilation and disinfection.Physical distancing alone can’t prevent COVID-19 transmission, it is important that it is combined with other public health measures, such as hand and respiratory hygiene, environmental clean-up and disinfection of commonly touched surfaces and objects, ventilation, wearing face masks and a policy of staying at home if unwell."
0,"What are the rights, duties and responsibilities of employers?","Employers, workers, and their organizations should collaborate with health authorities to prevent and control COVID-19. Cooperation between management and workers and their representatives is essential for workplace‐related prevention measures. International labour standards on the rights and responsibilities of workers and employers in occupational safety and health should be fully respected. Employers, in consultation with workers and their representatives, should plan and implement measures to prevent and mitigate COVID-19 at the workplace through engineering and administrative controls, and provide personal protective equipment and clothing according to the risk assessment. Such measures should not involve any expenditure on the part of the workers.Special measures are needed to protect workers at higher risk of developing severe disease, such as those age 60 and over, or with underlying medical conditions, upon recommendation of the occupational health services. Workers in the informal economy and digital labour platforms, those in small enterprises, domestic and migrant workers should not be left behind in the protection of their health and safety at work and their livelihood.   There should be no social stigma or discrimination at the workplace for any reason, including access to information and protection from COVID-19, occupational health services and mental health and psychosocial support. If COVID-19 is contracted through occupational exposure, it could be considered an occupational disease and, if so determined, should be reported and compensated according to the international labour standards and the national schemes for employment injury benefits."
0,"What are the rights, duties and responsibilities of workers?","Workers are responsible to follow the measures for occupational safety and health and infection prevention and control established for their workplace, and to participate in training provided by the employer. Workers should report to their supervisor any situation which may present an imminent and serious danger to their life or health. Workers have the right to remove themselves from any work situation that they have reasonable justification to believe presents an imminent and serious danger to their life or health, and should be protected from any undue consequences as a result of exercising this right."
0,How can workplaces plan for the prevention and mitigation of COVID-19?,"Workplaces should develop action plans to prevent and mitigate COVID-19 as part of the business continuity plan and according to the results of the risk assessments and the epidemiological situation. The action plan and preventive measures should be regularly monitored and updated. Workers and their representatives should be consulted and should participate in the development, monitoring and updating of the workplace COVID-19. It is very important to monitor the effectiveness of preventive measures, and the compliance of workers, visitors, customers, clients and sub-contractors with the measures. The plans should be updated when someone with known or suspected COVID-19 is at the workplace."
0,Can the return to the workplace be immediate after public measures are lifted?,"The return to work premises should be carefully planned ahead, with preventive measures put in place according to the risk assessment of the different jobs and work tasks. All possible risks for safety and health should be assessed, such as risks resulting from reduced maintenance of machines and facilities during the closure period.  If a return to work is rushed and not done in a phased and cautious manner, it puts lives at risk, and threatens to undermine efforts to restore social and economic activity."
0,Does WHO recommend thermal testing of people entering a workplace?,"Temperature screening cannot detect all cases of COVID-19, since infected individuals may not have fever early in the course of infection or illness, such as during the incubation period or just before other symptoms begin, even though they may already be infectious. Some people may reduce fever with a fever-reducing medication if they are concerned about the possible consequences of not coming to work. Relying on temperature screening alone will not stop the spread of COVID-19 at work. Thermal screening at the workplace can be considered part of a package of measures to prevent and control COVID-19 at the workplace. Workers should be encouraged to self-monitor their health, possibly with the use of questionnaires, and take their own temperature regularly at home. Workplaces should adopt “stay at home if unwell” and flexible sick leave policies to discourage workers with symptoms consistent with COVID-19 from coming to the workplaces."
0,"Does WHO recommend workers wear masks at the workplace (office or others)? If yes, what type of masks?","Wearing masks depends on the risk assessment. For jobs and tasks that carry a medium or high risk, for people aged 60 and older, and for those with underlying health conditions, a medical mask and other personal protective equipment should be provided. Fabric masks or face coverings are currently recommended for younger people and those with no symptoms where physical distancing is not achievable. This prevents the spread of virus from the wearer (who could have COVID-19 but no symptoms) to others. The policy on wearing a mask or face covering in low risk workplaces should be in line with national or local guidelines. Masks may carry some risks if not used properly."
0,Are there any directives on office ventilation and air conditioning use?,"There should be fresh, clean air in all workplaces. For jobs and work tasks at medium or high risk of exposure, WHO recommends an increased ventilation rate through natural aeration or artificial ventilation, preferably without re-circulation of the air. In case of air recirculation, filters should be cleaned regularly."
0,What mental health and psychosocial support should be provided to workers during COVID-19?,"COVID-19 is associated with a range of concerns, such as fear of falling ill and dying, of being socially excluded, placed in quarantine, or losing a livelihood. Symptoms of anxiety and depression are common reactions for people in the context of COVID-19. Mental health and psychosocial support should be made available to all workers. Comprehensive risk assessments can help identify and mitigate related occupational hazards for mental healthFull Guideline Document Considerations for public health and social measures in the workplace in the context of COVID-19 is accessible at: https://www.who.int/publications/i/item/considerations-for-public-health-and-social-measures-in-the-workplace-in-the-context-of-covid-19"
0,What is ‘herd immunity’?,"'Herd immunity', also known as 'population immunity', is the indirect protection from an infectious disease that happens when a population is immune either through vaccination or immunity developed through previous infection. WHO supports achieving 'herd immunity' through vaccination, not by allowing a disease to spread through any segment of the population, as this would result in unnecessary cases and deaths.Herd immunity against COVID-19 should be achieved by protecting people through vaccination, not by exposing them to the pathogen that causes the disease. Read the Director-General’s 12 October media briefing speech for more detail. Vaccines train our immune systems to create proteins that fight disease, known as ‘antibodies’, just as would happen when we are exposed to a disease but – crucially – vaccines work without making us sick. Vaccinated people are protected from getting the disease in question and passing on the pathogen, breaking any chains of transmission. Visit our webpage on COVID-19 and vaccines for more detail. To safely achieve herd immunity against COVID-19, a substantial proportion of a population would need to be vaccinated, lowering the overall amount of virus able to spread in the whole population. One of the aims with working towards herd immunity is to keep vulnerable groups who cannot get vaccinated (e.g. due to health conditions like allergic reactions to the vaccine) safe and protected from the disease. Read our Q&A on vaccines and immunization for more information.The percentage of people who need to be immune in order to achieve herd immunity varies with each disease. For example, herd immunity against measles requires about 95% of a population to be vaccinated. The remaining 5% will be protected by the fact that measles will not spread among those who are vaccinated. For polio, the threshold is about 80%. The proportion of the population that must be vaccinated against COVID-19 to begin inducing herd immunity is not known. This is an important area of research and will likely vary according to the community, the vaccine, the populations prioritized for vaccination, and other factors.  Achieving herd immunity with safe and effective vaccines makes diseases rarer and saves lives. Find out more about the science behind herd immunity by watching or reading this interview with WHO’s Chief Scientist, Dr Soumya Swaminathan."
0,What is WHO’s position on ‘herd immunity’ as a way of fighting COVID-19?,"Attempts to reach ‘herd immunity’ through exposing people to a virus are scientifically problematic and unethical. Letting COVID-19 spread through populations, of any age or health status will lead to unnecessary infections, suffering and death.
The vast majority of people in most countries remain susceptible to this virus. Seroprevalence surveys suggest that in most countries, less than 10% of the population have been infected with COVID-19.
We are still learning about immunity to COVID-19. Most people who are infected with COVID-19 develop an immune response within the first few weeks, but we don’t know how strong or lasting that immune response is, or how it differs for different people. There have also been reports of people infected with COVID-19 for a second time.         
Until we better understand COVID-19 immunity, it will not be possible to know how much of a population is immune and how long that immunity last for, let alone make future predictions. These challenges should preclude any plans that try to increase immunity within a population by allowing people to get infected.
Although older people and those with underlying conditions are most at risk of severe disease and death, they are not the only ones at risk.
Finally, while most infected people get mild or moderate forms of COVID-19 and some experience no disease, many become seriously ill and must be admitted into hospital. We are only beginning to understand the long-term health impacts among people who have had COVID-19, including what is being described as ‘Long COVID.’ WHO is working with clinicians and patient groups to better understand the long term effects of COVID-19.  
Read the Director-General’s opening remarks at the 12 October COVID-19 briefing for a summary of WHO’s position."
0,What do we know about immunity from COVID-19?,"Most people who are infected with COVID-19 develop an immune response within the first few weeks after infection.
Research is still ongoing into how strong that protection is and how long it lasts. WHO is also looking into whether the strength and length of immune response depends on the type of infection a person has: without symptoms (‘asymptomatic’), mild or severe. Even people without symptoms seem to develop an immune response.
Globally, data from seroprevalence studies suggests that less 10% of those studied have been infected, meaning that the vast majority of the world’s population remains susceptible to this virus.
For other coronaviruses – such as the common cold, SARS-CoV-1 and Middle East Respiratory Syndrome (MERS) – immunity declines over time, as is the case with other diseases. While people infected with the SARS-CoV-2 virus develop antibodies and immunity, we do not yet know how long it lasts. 
Watch this conversation with Dr Mike Ryan and Dr Maria Van Kerkhove for more information on immunity."
0,What is WHO’s position on ‘lockdowns’ as a way of fighting COVID-19?,"Large scale physical distancing measures and movement restrictions, often referred to as ‘lockdowns’, can slow COVID‑19 transmission by limiting contact between people.
However, these measures can have a profound negative impact on individuals, communities, and societies by bringing social and economic life to a near stop. Such measures disproportionately affect disadvantaged groups, including people in poverty, migrants, internally displaced people and refugees, who most often live in overcrowded and under resourced settings, and depend on daily labour for subsistence.
WHO recognizes that at certain points, some countries have had no choice but to issue stay-at-home orders and other measures, to buy time.
Governments must make the most of the extra time granted by ‘lockdown’ measures by doing all they can to build their capacities to detect, isolate, test and care for all cases; trace and quarantine all contacts; engage, empower and enable populations to drive the societal response and more.
WHO is hopeful that countries will use targeted interventions where and when needed, based on the local situation."
0,Are people living with HIV at increased risk of being infected with the virus that causes COVID-19?,"People living with HIV (PLHIV) who are not taking antiretroviral treatment (ART) and have a low CD4 cell count, particularly those with advanced HIV disease, are at increased risk of opportunistic infections and AIDS related complications. However, there
    is evolving and conflicting evidence whether people living with HIV have an increased risk of acquisition of SARS-CoV-2 infection and/or COVID-19 clinical complications in PLHIV compared to the general population. PLHIV can have a greater prevalence of the known risk factors for COVID-19 acquisition and complications, such as heart disease, kidney disease, diabetes, chronic pulmonary disease, obesity, as well as, other comorbidities and co-infections, like tuberculosis. Several case report series and small cohort studies among hospitalized PLHIV with COVID-19 have shown comparable clinical outcomes and similar risk of SARS CoV2 infection when compared with general population, particularly in those with well controlled HIV infection (on ART and with a CD4 count > 200 cells/mm3 and suppressed viral load). These limited clinical data suggest the mortality risk in PLHIV is associated with known COVID-19 factors such as older age and presence of comorbidities including cardiovascular disease, diabetes, chronic respiratory disease and obesity [1-3].There have been several systematic and non-systematic reviews that evaluated COVID-19 outcomes among PLHIV; most have found comparable outcomes of mortality and morbidity when compared with HIV negative patients [4-8]. Methods did not always include assessment of outcomes while controlling for known COVID-19 risk factors [4]. There is also limited data in patients with advanced HIV disease (i.e. low CD4 cell count).  One systematic review, notably published as a pre-print, found of 144,795 hospitalized COVID-19 patients in North America, Europe, and Asia the pooled prevalence of HIV in COVID-19 patients was 1.22% [95% (CI): 0.61%-2.43%)] translating to a 2-fold increase compared to the respective local-level pooled HIV prevalence in the general population of 0.65% (95% CI: 0.48%-0.89%) – which hinted at a potential susceptibility among PLHIV [9].  Additional data on this topic come from several cohort studies from South Africa, the USA and the UK [10-12] have reported a moderate increased risk of death directly attributed to HIV infection after adjustments for age, sex, ethnicity and presence of
    comorbidities; an unpublished meta-analysis including these studies found that the risk of death was almost double that of HIV-negative patients; however, confounding by comorbidities associated with increased risk of severe COVID-19 cannot be ruled
    out [13]. Protecting people living with HIV during the COVID-19 pandemic, and ensuring they can maintain treatment, is critical. Researchers are currently investigating whether people with HIV have an increased risk of poor outcomes with COVID-19. Preliminary
        evidence of moderate increased vulnerability of people with HIV makes it even more urgent that people with HIV have access to ARVs and treatments for co-morbidities – such as treatment for hypertension, cardiovascular disease, chronic pulmonary
        disease, diabetes, tuberculosis, and maintenance of a healthy body weight.  A larger dataset from a broader geographical representation is required to expand understanding of how SARS-CoV-2 co-infection with HIV impacts the severity of illness, disease progression and outcomes from hospitalization with COVID-19. For this purpose, WHO has established a Global COVID-19 Clinical Platform. As of 4 November 2020, WHO has received clinical data from 79 000 patients hospitalised with confirmed or suspected COVID-19, including from 5 291 hospitalised patients living with HIV, from over 30 countries around the world. The platform is open to all Member States and health facilities to contribute data and inclusion will help inform future guidance on how best to ensure PLHIV are well protected during the COVID-19 pandemic.PLHIV are advised to take the same COVID-19 precautions as recommended for the general population [14-15]: wash hands often; practice cough etiquette; ensure physical distancing; wear masks when appropriate and according to local regulations; seek medical care if symptomatic; self-isolate if one develops symptoms or has contact with a positive  COVID-19 case; and other actions per the local and government response.  It is important to ensure that PLHIV have access to antiretroviral drugs for longer periods (3-6 month supply); and that programmes practice multi-month dispensing (MMD) of ARVs, as well as, other necessary medications, such as, opiate substitution therapy (OST), TB preventative therapy (TPT) and treatments for comorbidities. It is also important to ensure that some vaccinations are up to date (influenza and pneumococcal vaccines) and there is access to adequate supplies of medicines to treat or prevent co-infections and comorbidities."
0,Can antiretrovirals or direct-acting antivirals against hepatitis C virus be used to treat COVID-19?,"Antiretrovirals drugs were initially considered for use in the treatment of COVID-19 based on virtual screening and in vitro studies. Published data indicate that most of patients infected with the virus causing COVID-19 have mild to moderate symptoms, have good clinical outcomes and do not require hospitalization. In some cases, patients admitted to the hospital were given an antiretroviral drug, most often lopinavir boosted with ritonavir (LPV/r) or, less frequently, darunavir boosted with ritonavir (DRV/r). Studies assessing the potential benefit of an antiretroviral drug on COVID-19 were mostly carried out in HIV-negative individuals. A systematic review on use of antiretrovirals in patients with coronaviruses, conducted in March 2020 identified two randomized trials and 21 observational studies provided clinical outcome data on the use of LPV/r for the treatment of COVID‐19, SARS and MERS [16]. The randomized trials showed no clinical benefit, the observational studies were inconclusive, and the certainty of the body of evidence across all important outcomes was low or very low quality. A living systematic review and network meta-analysis on the efficacy and safety of drug treatments for COVID-19 published in September 2020 did not find any convincing evidence that antiretrovirals drugs such as lopinavir/ritonavir reduced the mortality or increased the rate of viral clearance [17].More recently, two additional randomized studies confirmed these findings and didn't support the use of LPV/r for treatment of hospitalized patients with COVID-19.A recently published clinical trial showed that in patients admitted to hospital with COVID-19, LPV/r was not associated with reductions in mortality, duration of hospital stay, or risk of progressing to invasive mechanical ventilation or death [18].  Similarly, in the WHO-coordinated Solidarity Trial recently published, LPV/r appears to have little or no effect on hospitalized COVID-19 patients, as indicated by overall mortality, initiation of ventilation and duration of hospital stay. [19].Based on available evidence, the use of LPV/r and other antiretrovirals are not likely to improve clinical outcomes in hospitalized individuals with COVID-19.Several randomized and nonrandomized studies have evaluated anti-hepatitis C drugs including sofosbuvir and daclatasvir for treating of SARS-CoV-2 and while these preliminary results suggested benefit in terms of clinical recovery, this evidence is insufficient (small sample size, inclusion of a nonrandomized study) to be able to recommend using these antivirals for treating SARS-CoV-2. [20]"
0,Can antiretrovirals be used to prevent COVID-19 infection?,"A number of small studies have assessed whether antiretrovirals can be used to prevent infection from SARS-CoV2, often with discordant results. A recent study suggests that people living with HIV who were using tenofovir disoproxil fumarate (TDF) were less likely to contract SARS-CoV-2. However, other studies indicate that tenofovir-based HIV pre-exposure prophylaxis (PrEP) does not provide protection against infection with the new coronavirus, nor does it ameliorate the course of COVID-19 disease [21]. In this study, prevalence of SARS-CoV-2 was actually higher among people taking PrEP compared to individuals who were not.Taken together, the available literature does not provide conclusive evidence that antiretrovirals could protect individuals from SARS-CoV-2 infection or from becoming seriously ill with the virus. However, the certainty of the evidence is very low due to small sample size, and uncertainty regarding intensity of exposure.People taking PrEP or who are taking ARVs with the hopes of preventing COVID-19 need to adopt the same COVID-19 prevention measures as recommended for people in the general population."
0,What is WHO’s position on the use of antiretrovirals for the treatment or prevention of COVID-19?,"WHO does not currently recommend the use of antiretrovirals as treatment or prevention of COVID-19, outside of the context of clinical trials. Existing published literature on antiretrovirals is mostly observational in nature, with few clinical trials; and does not provide good quality evidence in favour of these agents for these purposes. The current body of evidence does not show benefit of using LPV/r and other antiretrovirals reduce the risk of new coronavirus infection or improve clinical outcomes in symptomatic disease among patients with COVID‐19. More recently, two additional randomized studies confirmed these findings and didn't support the use of LPV/r for treatment of hospitalized patients with COVID-19. The Recovery trial showed that LPV/r was not associated with reduction in mortality, time of hospitalisation stay and risk of progressing to invasive mechanical ventilation or death. [18] The interim results of the WHO multicounty adaptative trial (Solidarity trial) also found that LPV/r had little or no effect on overall mortality, initiation of ventilation and duration of hospital stay in hospitalized patients with COVID-19 [19]."
0,How do we ensure human rights and reduce stigma and discrimination?,"As the world scales up public health responses to the COVID19 pandemic, countries are being urged to take decisive action to control the epidemic. WHO has urged all countries to ensure an appropriate balance between protecting health, preventing economic and social disruption, and respecting human rights. WHO is working with partners including the UNAIDS Joint Programme and the Global Network of People Living with HIV to ensure that human rights are not eroded in the response to COVID-19 and to ensure that people living with, or affected by, HIV are offered the same access to services as others and to ensure HIV-related services continue without disruption.To mitigate potential prison outbreaks of COVID-19 and reduce morbidity and mortality among people in prisons and other closed settings, it is crucial that prisons and immigration detention centres are embedded within the broader public health response. This requires close collaboration between health and justice ministries and includes protocols for entry screening, personal protection measures, physical distancing, environmental cleaning and disinfection, and restriction of movement, including limitation of transfers and access for non-essential staff and visitors.  In the current context it is of critical importance that countries work toward developing non-custodial strategies to prevent overcrowding in closed settings [22]. Governance of prison health by a ministry of health, rather than a ministry of justice or similar, is likely to facilitate this approach [23]."
0,How can programmes assure continued access to HIV services?,"Continuous access to essential HIV prevention, testing and treatment services must be assured, including in settings where measurements of confinement are implemented within the public health response to the COVID-19 pandemic. Adapted and evidence-based
    measures to reduce possible transmission should be considered and implemented. These include [24]:Applying standard precautions for all patients (including ensuring that all patients cover their nose and mouth with a tissue or elbow when coughing or sneezing, offering a medical mask to patients with suspected COVID-19 infection while they are
        in waiting in the service, perform hand hygiene etc.)Health care and outreach workers, as well as peer educators and clients should apply hand hygiene and other protective measuresEnsuring triage, early recognition, and source control (isolating patients with suspected COVID-19 infection)Ensure there is adequate ventilation in all areas in the healthcare facilitySpatial distance between 1 and 2 meters should ideally be maintained between all patients within all types of servicesCleaning and disinfection procedures should be followed consistently and correctlyDispensing medicines (for treatment of HIV, TB and other chronic conditions such as opioid dependence) for longer periods allowing reduced frequency of patient visitsConsider reduction of services to the most critical ones (provision of essential treatment and prevention services; services such as counselling sessions may be reduced or adapted)Many countries have developed virtual ways of delivering services and supporting people to reduce clinic attendance. Countries have also increased self-care options, for example HIV self-testing, often in combination with virtual support to keep services going.   There are many examples of innovations being used to support the continuation of PrEP services including virtual support, community and home distribution and using HIVST for monitoring during periods when clinic services have been suspended. 
        Learning from these may help guide future implementation in the post-COVID-9 era.   Generally, vulnerable populations, including members of key populations (men who have sex with men, sex workers, people who use drugs, transgender people and people in prisons) as well as homeless and/or displaced people may be at increased risk of infection – because of additional comorbidities impacting on their immune system, reduced ability to apply measures of confinement and social distancing, as well as generally limited access to health services. It is critical that services that reach these populations such as community-based services, drop-in centres and outreach services can continue providing life-saving HIV prevention (distribution of condoms, PrEP, needles and syringes), testing and treatment while securing safety of staff and clients. Services can be adapted according to above considerations where applicable.  Some prevention services, such as voluntary medical male circumcision (VMMC), which require clinic attendance, were initially suspended in the early phases of the response to the COVID-19 epidemic. Some countries, following assessing the covid situation, have adjusted their responses and are restating VMMC services with additional COVID-19 prevention measures."
0,What is the role of multi-month prescriptions and dispensing for antiretrovirals and other medicines?,"All PLHIV doing well on ART can benefit from simplified antiretroviral therapy delivery models which include multi-month prescriptions and dispensing (3-6 month supply) which will reduce the frequency of visits to clinical settings and ensures continuity of treatment during possible disruption of movements during the coronavirus outbreak.  Similar consideration should be given to providing people who are clinically stable on methadone or buprenorphine substitution therapy with an increased possibility for take-home medications to reduce additional burden on the health sector. Many countries have now implemented the provision of take-home dosages for stable patients on opioid substitution therapy as recommended by WHO [25].As is common practice, experienced preexposure prophylaxis (PrEP) users may be given multi-month prescriptions according to national guidance which may include regular STI testing. Individuals initiating PrEP should continue to return for a 1-month follow-up HIV testing and clinic visit before receiving multi-month prescriptions. This is to rule out acute HIV infection, assess adverse effects and determine intention to continue PrEP use. However, flexibility for the 1-month visit can be considered for motivated clients who have not had a recent (in the past 3 weeks) potential exposure to HIV. These decisions could be made on a case-by-case basis between providers and clients initiating PrEP for the first time. Telehealth and community dispensing can be considered for follow up. Quality-assured HIV self-testing can be considered for maintenance."
0,Can pregnant or postpartum women living with HIV transmit the COVID-19 virus to their unborn child or infant?,"There are few data on the clinical presentation of COVID-19 in specific populations, such as children, pregnant and breastfeeding women [26] but findings from a small published study suggest that there is currently no evidence for intrauterine infection caused by vertical transmission in women who develop COVID-19 pneumonia in late pregnancy, nor are data sufficient to conclude vertical transmission through breastfeeding [27]. Although no vertical transmission has been documented, transmission after birth via contact with infectious respiratory secretions is a concern. Infants born to mothers with suspected, probable, or confirmed COVID-19 should be fed according to standard infant feeding guidelines [28], while applying necessary precautions for infection prevention and control (IPC). As with all confirmed or suspected COVID-19 cases, symptomatic mothers who are breastfeeding or practicing skin-to-skin contact or kangaroo mother care should practice respiratory hygiene, including during feeding (for example, use of a medical mask when near a child if the mother has respiratory symptoms), perform hand hygiene before and after contact with the child, and routinely clean and disinfect surfaces with which the symptomatic mother has been in contact [29].   Q&A on COVID-19, pregnancy, childbirth and breastfeeding"
0,Should pregnant and breastfeeding women living with HIV with COVID-19 and their newborns be managed differently?,"There is currently no well-established difference between the clinical manifestations of COVID-19 or risk of severe illness or foetal compromise for pregnant and non-pregnant women with HIV. However, a recent large database study conducted by US-CDC
    suggested that pregnant women with COVID-19 are more likely to need intensive care due an increased relative risk of developing severe disease [30]. Pregnant women with suspected or confirmed COVID-19 should be treated with supportive and management
    therapies, considering the immunologic and physiologic adaptations during and after pregnancy which may overlap with COVID-19 symptoms. Data are limited but, until the evidence base provides clearer information, special consideration should be given
    to pregnant women with concomitant medical illnesses who could be infected with COVID-19. There are no reported deaths in pregnant women at time of publishing this information [31]. However, COVID-19 testing of symptomatic pregnant women may need
    to be prioritized to enable access to specialized care.  All recently pregnant women with COVID-19 or who have recovered from COVID-19 should be provided with information and counselling on safe infant feeding and appropriate IPC measures to
    prevent COVID-19 virus transmission [32].With confirmed disease or under investigation, management is similar to non-pregnant women, with appropriate isolation of confirmed or under investigation.  Obstetric facilities must be notified and prepared, noting that each infant born to any mother
    with confirmed COVID-19 should be considered a ‘person under investigation’ and should be isolated according to the IPC guidance.  Currently, it is unknown whether newborns with COVID-19 are at increased risk for severe complications."
0,Can someone who has tested positive for COVID-19 be cared for at home?,"People with no symptoms should be able to stay at home, if adequately isolated from others, but this should be confirmed by a doctor. Those with mild or moderate disease can be considered for home care if they are under the age of 60, do not smoke, are not obese, and do not have other diseases such as cardiovascular disease, diabetes mellitus, chronic lung disease, cancer, chronic kidney disease, immunosuppression. A health worker will assess risk factors along with the person’s symptoms, medical history and ability for the family to manage the care. Household members need to limit shared spaces, practice the recommended hygiene and know how to recognize and respond to signs of worsening health.A trained health worker will need to assess whether the home in question is suitable for the isolation and care of a COVID-19 patient, and proper infection prevention control measures are put in place. Trained health workers are also important to support the patient and family in the home, or by phone, telemedicine, or outreach teams."
